School,G,W,L,W-L%,SRS,SOS,W,L,Conf_W-L%,W,L,Home_W-L%,W,L,Away_W-L%,Tm.,Opp.,Point_T-O%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Alabama NCAA,36,20,16,0.556,12.34,10.64,8,10,0.444444444,12,4,0.75,2,8,0.2,2604,2543,0.505925782,70.2,103,0.419,0.355,0.55,50.3,50.3,9,14.7,0.519,17.8,29.4,0.281
Arizona State NCAA,32,20,12,0.625,14.37,6.56,8,10,0.444444444,13,4,0.764705882,4,6,0.4,2645,2395,0.524801587,72.2,113.6,0.413,0.413,0.576,49,51.6,9,9.9,0.538,13,27.9,0.303
Arizona NCAA,35,27,8,0.771,15.67,6.84,14,4,0.777777778,15,1,0.9375,8,3,0.727272727,2818,2509,0.529003191,68.6,115.6,0.37,0.321,0.598,55.6,52.6,7.1,12,0.563,15.3,33.3,0.281
Arkansas NCAA,35,23,12,0.657,14.76,9.85,10,8,0.555555556,15,2,0.882352941,3,7,0.3,2819,2647,0.515733626,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7,0.255
Auburn NCAA,34,26,8,0.765,15.97,7.29,13,5,0.722222222,15,1,0.9375,7,4,0.636363636,2783,2488,0.527983305,73.4,111.5,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,32,0.308
Bucknell NCAA,35,25,10,0.714,4.48,-3.46,16,2,0.888888889,15,1,0.9375,10,8,0.555555556,2837,2559,0.525759822,72.4,110.3,0.425,0.392,0.576,50.8,52.3,7.5,10.4,0.539,15.1,27,0.306
Buffalo NCAA,36,27,9,0.75,7.99,0.25,15,3,0.833333333,14,1,0.933333333,8,5,0.615384615,3047,2742,0.526343064,73.9,113.4,0.298,0.406,0.572,51.4,54,8.4,10.1,0.549,14.3,31.8,0.208
Butler NCAA,35,21,14,0.6,16.92,10.55,9,9,0.5,14,3,0.823529412,3,7,0.3,2763,2540,0.521025834,69.6,111.1,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.4,0.202
Cal State Fullerton NCAA,32,20,12,0.625,-0.92,-1.02,10,6,0.625,9,4,0.692307692,7,7,0.5,2318,2245,0.507999123,69.9,102.7,0.433,0.291,0.559,51.1,50.1,8.9,8.6,0.516,18,27.1,0.316
Cincinnati NCAA,36,31,5,0.861,20.25,3.53,16,2,0.888888889,15,1,0.9375,9,2,0.818181818,2673,2071,0.563448567,66.1,112.3,0.36,0.353,0.543,55.6,60.4,10.8,15.8,0.512,14.1,38.5,0.249
Clemson NCAA,35,25,10,0.714,17.17,9.25,11,7,0.611111111,15,1,0.9375,4,6,0.4,2584,2307,0.528317318,67.5,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27.1,0.253
College of Charleston NCAA,34,26,8,0.765,1.83,-3.29,14,4,0.777777778,14,0,1,7,6,0.538461538,2536,2331,0.521060201,65.9,111.1,0.367,0.378,0.567,49.6,44.2,7.8,9.8,0.527,13.2,25.7,0.277
Creighton NCAA,33,21,12,0.636,16.35,8.1,10,8,0.555555556,16,2,0.888888889,4,7,0.363636364,2756,2444,0.53,72.8,113.8,0.259,0.45,0.599,51,58.3,7.7,6.7,0.575,13.9,22.5,0.194
Davidson NCAA,33,21,12,0.636,11.02,2.57,13,5,0.722222222,11,1,0.916666667,6,8,0.428571429,2519,2240,0.529312881,65.3,115.7,0.246,0.484,0.602,50.8,61.3,7.1,6.1,0.574,13.1,22.6,0.196
Duke NCAA,37,29,8,0.784,24.44,9.71,13,5,0.722222222,15,1,0.9375,6,5,0.545454545,3121,2576,0.547832192,70.6,118.6,0.346,0.363,0.586,55.5,57.6,10.5,12.4,0.559,14.7,38.8,0.246
Florida State NCAA,35,23,12,0.657,15.79,8.5,9,9,0.5,13,2,0.866666667,4,7,0.363636364,2806,2551,0.523800635,72.2,109.5,0.37,0.368,0.562,51.8,52.6,9.4,14,0.532,15.4,32,0.256
Florida NCAA,34,21,13,0.618,16.67,10.08,11,7,0.611111111,12,5,0.705882353,5,4,0.555555556,2577,2353,0.522718053,68.4,109.6,0.326,0.403,0.54,48.5,49.8,10.1,12.7,0.507,12.3,28.7,0.234
Georgia State NCAA,35,24,11,0.686,3.23,-2.78,12,6,0.666666667,11,3,0.785714286,9,6,0.6,2614,2356,0.525955734,67.9,108.8,0.303,0.413,0.562,47.7,48.6,10.7,15.1,0.54,14.5,26,0.205
Gonzaga NCAA,37,32,5,0.865,18.43,2.59,17,1,0.944444444,15,1,0.9375,10,1,0.909090909,3091,2505,0.552358828,69.7,118.2,0.321,0.394,0.593,56,50.1,8.9,9.6,0.57,13.9,32.9,0.227
Houston NCAA,35,27,8,0.771,15.99,4.16,14,4,0.777777778,15,0,1,6,5,0.545454545,2685,2271,0.541767554,68.5,112,0.326,0.372,0.563,54.6,53,9.1,9,0.533,14.9,33.6,0.234
Iona NCAA,34,20,14,0.588,0.76,-2.19,11,7,0.611111111,8,3,0.727272727,7,8,0.466666667,2702,2602,0.509426848,71.5,109.2,0.302,0.408,0.569,47.2,56.6,9.3,7.6,0.539,14.3,24.4,0.223
Kansas State NCAA,37,25,12,0.676,12.84,8.74,10,8,0.555555556,14,3,0.823529412,6,5,0.545454545,2630,2478,0.514878622,66.6,106.4,0.338,0.368,0.56,47.4,54.4,11.9,9.3,0.525,15.3,25.8,0.248
Kansas NCAA,39,31,8,0.795,21.39,11.87,13,5,0.722222222,14,3,0.823529412,8,3,0.727272727,3174,2803,0.531035637,70.2,115.5,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,29.3,0.191
Kentucky NCAA,37,26,11,0.703,17.24,10.73,10,8,0.555555556,16,2,0.888888889,4,6,0.4,2840,2599,0.522154808,69.8,109.6,0.44,0.258,0.555,53.6,49,8,13.7,0.518,15.8,35.5,0.307
